restaurant_url,weekday,hour_24,hour_label,index,value,busyness_percent
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Saturday,13,1 PM,122,57% busy at 1 PM.,57
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Saturday,14,2 PM,123,52% busy at 2 PM.,52
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Saturday,15,3 PM,124,47% busy at 3 PM.,47
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Saturday,16,4 PM,125,38% busy at 4 PM.,38
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Saturday,17,5 PM,126,19% busy at 5 PM.,19
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Saturday,18,6 PM,127,28% busy at 6 PM.,28
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Saturday,19,7 PM,128,28% busy at 7 PM.,28
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Saturday,20,8 PM,129,47% busy at 8 PM.,47
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Saturday,21,9 PM,130,61% busy at 9 PM.,61
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Saturday,22,10 PM,131,80% busy at 10 PM.,80
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Saturday,23,11 PM,132,100% busy at 11 PM.,100
https://maps.app.goo.gl/KqSr8hH5GV4ZGJP27,Saturday,1,1 AM,133,100% busy at 1 AM.,100
